iters,fevals,fitness,times
0,10,8.0,7.897000000006704e-06
10,11,8.0,1.2545000000002693e-05
20,12,8.0,1.6694000000011533e-05
30,13,8.0,2.021800000001628e-05
40,14,8.0,2.458900000001929e-05
50,15,8.0,2.8054000000027335e-05
60,16,10.0,3.180900000004927e-05
70,17,10.0,3.564000000005896e-05
80,18,10.0,3.965700000005401e-05
90,19,11.0,4.3290000000056894e-05
100,20,11.0,4.6978000000058584e-05
110,21,11.0,5.109400000005704e-05
120,22,11.0,5.6947000000057146e-05
130,23,14.0,6.086000000005143e-05
140,24,74.0,6.557300000006872e-05
150,25,74.0,6.965800000005573e-05
160,26,74.0,7.363400000007236e-05
170,27,74.0,7.729700000008721e-05
180,28,74.0,8.104500000008508e-05
190,29,74.0,8.50670000000775e-05
200,30,74.0,8.871100000007459e-05
210,31,76.0,9.267400000007031e-05
220,32,76.0,9.683100000007494e-05
230,33,76.0,0.00010038600000006337
240,34,76.0,0.00010429500000008751
250,35,76.0,0.0001079660000000704
260,36,76.0,0.00011174700000005089
270,37,76.0,0.00011561400000006938
280,38,76.0,0.0001192020000000682
290,39,76.0,0.00012287900000004792
300,40,76.0,0.0001262550000000473
310,41,76.0,0.00012976000000006205
320,42,76.0,0.00013308300000006157
330,43,76.0,0.00013675900000006957
340,44,76.0,0.0001405980000000473
350,45,77.0,0.00014417200000005348
360,46,77.0,0.0001478070000000553
370,47,77.0,0.0001514530000000791
380,48,77.0,0.00015506500000009305
390,49,77.0,0.00015870400000009277
400,50,80.0,0.00016253100000010456
410,51,80.0,0.00016587700000011973
420,52,83.0,0.00017072500000012147
430,53,83.0,0.00017453100000011657
440,54,83.0,0.00017843600000011506
450,55,83.0,0.0001820710000001169
460,56,83.0,0.00018553200000009928
470,57,83.0,0.00018919100000011624
480,58,83.0,0.00019292500000012147
490,59,83.0,0.0001966630000001246
500,60,83.0,0.00020031000000012011
510,61,83.0,0.00020382700000012854
520,62,83.0,0.00020738400000011592
530,63,83.0,0.00021111900000012063
540,64,83.0,0.0002146060000001171
550,65,83.0,0.0002182150000001326
560,66,83.0,0.00022190000000013588
570,67,83.0,0.0002255180000001189
