iters,fevals,fitness
0,13209206,3875.449217495687
10,13211397,3880.069836945086
20,13213588,3875.449217495687
30,13215779,3875.449217495687
40,13217970,3875.449217495687
50,13220161,3910.5008299088317
60,13222352,3875.449217495687
70,13224543,3875.449217495687
80,13226734,3875.449217495687
90,13228925,3875.449217495687
100,13231116,3876.3764429251246
110,13233307,3875.449217495687
120,13235498,3875.449217495687
130,13237689,3875.449217495687
140,13239880,3875.449217495687
150,13242071,3875.449217495687
160,13244262,3875.449217495687
170,13246453,3911.111183848256
180,13248644,3875.449217495687
190,13250835,3875.449217495687
200,13253026,3875.449217495687
210,13255217,3875.449217495687
220,13257408,3875.449217495687
230,13259599,3876.129328717075
240,13261790,3875.449217495687
250,13263981,3875.449217495687
260,13266172,3927.1482639773317
270,13268363,3921.4199510190024
280,13270554,3894.396207413391
290,13272745,3893.1831855491087
300,13274936,3893.1831855491087
310,13277127,3893.1831855491087
320,13279318,3893.1831855491087
330,13281509,3893.1831855491087
340,13283700,3893.6183514137524
350,13285891,3893.6183514137524
360,13288082,3893.6183514137524
370,13290273,3893.6183514137524
380,13292464,3893.6183514137524
390,13294655,3893.6183514137524
400,13296846,3893.6183514137524
410,13299037,3893.6183514137524
420,13301228,3919.3645354895425
430,13303419,3936.0623615216928
440,13305610,3936.0623615216928
450,13307801,3958.7299701267257
460,13309992,3936.0623615216928
470,13312183,3936.0623615216928
480,13314374,3958.7299701267257
490,13316565,3966.9645486731415
500,13318756,3958.7299701267257
510,13320947,3958.7299701267257
520,13323138,3958.7299701267257
530,13325329,3958.7299701267257
540,13327520,3958.7299701267257
550,13329711,3989.2941315034946
560,13331902,3958.7299701267257
570,13334093,3958.7299701267257
580,13336284,3958.7299701267257
590,13338475,3962.3148710483265
600,13340666,3979.0126970804768
610,13342857,4015.259109589726
620,13345048,3973.2658141269885
630,13347239,3974.008920344013
640,13349430,4015.259109589726
650,13351621,3975.7072298846865
660,13353812,3981.9005420936446
670,13356003,3978.322233330069
680,13358194,3976.201594397732
690,13360385,4015.259109589726
700,13362576,4015.259109589726
710,13364767,4015.259109589726
720,13366958,4015.259109589726
730,13369149,4015.259109589726
740,13371340,4026.461445245187
750,13373531,4015.259109589726
760,13375722,4015.259109589726
770,13377913,4015.259109589726
780,13380104,4015.259109589726
790,13382295,4015.259109589726
800,13384486,4057.864961388283
810,13386677,4015.259109589726
820,13388868,4015.259109589726
830,13391059,4015.259109589726
840,13393250,4015.259109589726
850,13395441,4015.494201944204
860,13397632,4015.259109589726
870,13399823,4015.259109589726
880,13402014,4015.259109589726
890,13404205,4015.259109589726
900,13406396,4015.259109589726
910,13408587,4015.259109589726
920,13410778,4015.259109589726
930,13412969,4015.259109589726
940,13415160,4015.259109589726
950,13417351,4015.259109589726
960,13419542,4015.259109589726
970,13421733,4015.259109589726
980,13423924,4015.259109589726
990,13426115,4015.259109589726
1000,13428306,4032.2935394041597
1010,13430497,4015.259109589726
1020,13432688,4015.259109589726
1030,13434879,4015.259109589726
1040,13437070,4015.259109589726
1050,13439261,4015.259109589726
1060,13441452,4015.259109589726
1070,13443643,4015.259109589726
1080,13445834,4015.259109589726
1090,13448025,4015.259109589726
1100,13450216,4015.259109589726
1110,13452407,4015.259109589726
1120,13454598,4036.7033897061074
1130,13456789,4015.259109589726
1140,13458980,4015.259109589726
1150,13461171,4015.259109589726
1160,13463362,4015.259109589726
1170,13465553,4015.259109589726
1180,13467744,4015.259109589726
1190,13469935,4015.259109589726
1200,13472126,4015.259109589726
1210,13474317,4015.259109589726
1220,13476508,4015.259109589726
1230,13478699,4015.259109589726
1240,13480890,4015.259109589726
1250,13483081,4015.259109589726
1260,13485272,4018.7584216277446
1270,13487463,4015.259109589726
1280,13489654,4015.259109589726
1290,13491845,4015.259109589726
1300,13494036,4015.259109589726
1310,13496227,4015.259109589726
1320,13498418,4018.7584216277446
1330,13500609,4018.7584216277446
1340,13502800,4018.7584216277446
1350,13504991,4018.7584216277446
1360,13507182,4018.7584216277446
1370,13509373,4018.7584216277446
1380,13511564,4018.7584216277446
