iters,fevals,fitness
0,221777,0.09576894989588942
10,223286,0.11537451927300509
20,224813,0.14550402582424493
30,226335,0.15380408036642362
40,227853,0.15606119829700774
50,229365,0.14470771268549712
60,230886,0.14027807381157079
70,232400,0.1399508664847473
80,233914,0.14226703917400893
90,235436,0.13949582906319324
100,236949,0.14435816277000468
110,238461,0.14189088099463323
120,239970,0.15444934872482866
130,241488,0.1522902105314247
140,243008,0.1537365145451289
150,244520,0.15438235865594613
160,246036,0.15417203209329589
170,247548,0.15519802997228746
180,249057,0.15303552388874006
190,250571,0.14556478923305657
200,252091,0.15072259927994025
210,253601,0.1498779019500318
220,255118,0.14766507393114925
230,256632,0.14896330153371282
240,258136,0.1560778738924578
250,259649,0.15402458952591583
260,261160,0.16043751380982926
270,262675,0.16099646501328194
280,264196,0.15051393833234566
290,265707,0.1495889669516313
300,267227,0.1543776039420511
310,268739,0.14747617966379845
320,270247,0.14918201717878646
330,271769,0.1504448644958976
340,273282,0.15479506473026305
350,274796,0.1547452244615119
360,276314,0.15035528241864757
370,277823,0.1503552824186476
380,279339,0.15304332172247173
390,280853,0.14851757947678984
400,282364,0.15199051077098236
410,283878,0.15397789399502865
420,285393,0.15224487356849326
430,286912,0.15121994096610114
440,288427,0.14977968223566301
450,289941,0.15116968520440963
460,291452,0.14869182911765605
470,292966,0.155818790267555
480,294483,0.15307766073540569
490,295998,0.15307766073540569
500,297518,0.14985651657273544
510,299035,0.14726390539886383
520,300552,0.1509664594828121
530,302070,0.15073218971632302
540,303590,0.1509762529737006
550,305101,0.146971719413333
560,306610,0.14802913589188457
570,308128,0.150767175112877
580,309638,0.15078528998220692
590,311155,0.15168276893728283
600,312673,0.1550123704953257
610,314186,0.15450609968061646
620,315704,0.1512948192259852
630,317222,0.15396297261062422
640,318733,0.15199051077098236
650,320251,0.1527309634948283
660,321766,0.15479506473026308
670,323278,0.15335430964560054
680,324785,0.15479506473026308
690,326301,0.14953112360007248
700,327815,0.15120115926280125
710,329334,0.15241587317414576
720,330845,0.15090017675696915
730,332362,0.1488490588437329
740,333880,0.15003812423661203
750,335401,0.15104765950763396
760,336910,0.1524471233430113
770,338437,0.15062017196568045
780,339957,0.14667333226508164
