iters,fevals,fitness,times
2620,15984449,98.0
2630,15986640,98.0
2640,15988831,98.0
2650,15991022,98.0
2660,15993213,98.0
2670,15995404,98.0
2680,15997595,98.0
2690,15999786,98.0
2700,16001977,98.0
2710,16004168,98.0
2720,16006359,98.0
2730,16008550,98.0
2740,16010741,98.0
2750,16012932,99.0
2760,16015123,99.0
2770,16017314,99.0
2780,16019505,99.0
2790,16021696,99.0
2800,16023887,99.0
2810,16026078,99.0
2820,16028269,99.0
2830,16030460,99.0
2840,16032651,99.0
2850,16034842,99.0
2860,16037033,99.0
2870,16039224,99.0
2880,16041415,99.0
2890,16043606,100.0
2900,16045797,99.0
2910,16047988,99.0
2920,16050179,99.0
2930,16052370,99.0
2940,16054561,99.0
2950,16056752,99.0
2960,16058943,99.0
2970,16061134,99.0
2980,16063325,99.0
2990,16065516,99.0
3000,16067707,99.0
3010,16069898,99.0
3020,16072089,99.0
3030,16074280,99.0
3040,16076471,99.0
3050,16078662,99.0
3060,16080853,99.0
3070,16083044,99.0
3080,16085235,99.0
3090,16087426,99.0
3100,16089617,99.0
3110,16091808,100.0
3120,16093999,100.0
3130,16096190,99.0
3140,16098381,99.0
3150,16100572,99.0
3160,16102763,99.0
3170,16104954,99.0
3180,16107145,99.0
3190,16109336,99.0
3200,16111527,99.0
3210,16113718,99.0
3220,16115909,99.0
3230,16118100,99.0
3240,16120291,99.0
3250,16122482,99.0
3260,16124673,99.0
3270,16126864,99.0
3280,16129055,99.0
3290,16131246,99.0
3300,16133437,99.0
3310,16135628,99.0
3320,16137819,99.0
3330,16140010,99.0
3340,16142201,100.0
3350,16144392,101.0
3360,16146583,100.0
3370,16148774,99.0
3380,16150965,99.0
3390,16153156,100.0
3400,16155347,99.0
3410,16157538,99.0
3420,16159729,100.0
3430,16161920,101.0
3440,16164111,101.0
3450,16166302,101.0
3460,16168493,101.0
3470,16170684,101.0
3480,16172875,102.0
3490,16175066,101.0
3500,16177257,102.0
3510,16179448,101.0
3520,16181639,101.0
3530,16183830,101.0
3540,16186021,101.0
3550,16188212,101.0
3560,16190403,101.0
3570,16192594,101.0
3580,16194785,101.0
3590,16196976,101.0
3600,16199167,101.0
3610,16201358,101.0
3620,16203549,101.0
3630,16205740,101.0
3640,16207931,101.0
3650,16210122,101.0
3660,16212313,101.0
3670,16214504,101.0
3680,16216695,101.0
3690,16218886,101.0
3700,16221077,101.0
3710,16223268,101.0
3720,16225459,101.0
3730,16227650,101.0
3740,16229841,101.0
3750,16232032,102.0
3760,16234223,102.0
3770,16236414,101.0
3780,16238605,101.0
3790,16240796,101.0
3800,16242987,101.0
3810,16245178,101.0
3820,16247369,101.0
3830,16249560,101.0
3840,16251751,101.0
3850,16253942,101.0
3860,16256133,101.0
