iters,fevals,fitness
0,187045,0.042588188365950984
10,187046,0.042407793719046
20,187047,0.04212566302195067
30,187048,0.042087004148157726
40,187049,0.04423785909457322
50,187050,0.04610242490664261
60,187051,0.04110106875024778
70,187052,0.04279363581939852
80,187053,0.042134761818151054
90,187054,0.04455735888936876
100,187055,0.04670521761762906
110,187056,0.04325694738140065
120,187057,0.042091206502648824
130,187058,0.04257418994486519
140,187059,0.04283076668415708
150,187060,0.043070511279308436
160,187061,0.046829978070550206
170,187062,0.04624697147560129
180,187063,0.045242599542918684
190,187064,0.04331784546411671
200,187065,0.041904165895559314
210,187066,0.040619149648142484
220,187067,0.03981922292247143
230,187068,0.043483939278730996
240,187069,0.04276828228310914
250,187070,0.04553798788262264
260,187071,0.042338403437164475
270,187072,0.04285996924344961
280,187073,0.04070625317739866
290,187074,0.04113583691514782
300,187075,0.048111907497022245
310,187076,0.04658999366174892
320,187077,0.04911743932665325
330,187078,0.04480638735342841
340,187079,0.0451760132638611
350,187080,0.04233670547235836
360,187081,0.03964476983624926
370,187082,0.045368081009027166
380,187083,0.041500509485362776
390,187084,0.042954668642126624
400,187085,0.04332381022374318
410,187086,0.050234751529842483
420,187087,0.04437646511743216
430,187088,0.04149982690442459
440,187089,0.04119502405473776
450,187090,0.0408655646898892
460,187091,0.04127594455365471
470,187092,0.044374096377289264
480,187093,0.04128703763473943
490,187094,0.041074285498070025
500,187095,0.041859630460887566
510,187096,0.041500911006943766
520,187097,0.0401415589791189
530,187098,0.04116878880192933
540,187099,0.045973890346447416
550,187100,0.046786829384380904
560,187101,0.045465317092781794
570,187102,0.04075000246517391
580,187103,0.04090651289064899
590,187104,0.0434205586753269
600,187105,0.04844176486766695
610,187106,0.053614668711496866
620,187107,0.05403219818330841
630,187108,0.056875702306002335
640,187109,0.056845415875982255
650,187110,0.058902327796180376
660,187111,0.0596914747374362
670,187112,0.06087289510296462
680,187113,0.06390386400537659
690,187114,0.06390386400537659
700,187115,0.06390386400537659
710,187116,0.06400322073010657
720,187117,0.06454711623812331
730,187118,0.06472062571489161
740,187119,0.06574770691524683
750,187120,0.06733037926755227
760,187121,0.06851051497244535
770,187122,0.06851051497244535
780,187123,0.06851051497244535
790,187124,0.06921080197085955
800,187125,0.06921080197085955
810,187126,0.06989354281130211
820,187127,0.06993177832658563
830,187128,0.07060260991721133
840,187129,0.07277614238681306
850,187130,0.07335049257565703
860,187131,0.07381088377073888
870,187132,0.07649118792555418
880,187133,0.07649118792555418
890,187134,0.0764975901739907
900,187135,0.07652360872174838
910,187136,0.07652360872174838
920,187137,0.07729228177944068
930,187138,0.07782805195091122
940,187139,0.08102587750417801
950,187140,0.08102587750417801
960,187141,0.08188919287528318
970,187142,0.0832156017792412
980,187143,0.0832156017792412
990,187144,0.0832156017792412
1000,187145,0.08457921619097554
1010,187146,0.08457921619097554
1020,187147,0.08457921619097554
1030,187148,0.08553261390811102
1040,187149,0.08591607697017947
1050,187150,0.08593059673241228
1060,187151,0.08641469046918236
1070,187152,0.08641469046918236
1080,187153,0.08641469046918236
1090,187154,0.08734697779531841
1100,187155,0.08734697779531841
1110,187156,0.08808115927049134
1120,187157,0.09146911935761487
1130,187158,0.09146911935761487
1140,187159,0.09146911935761487
1150,187160,0.09146911935761487
1160,187161,0.09146911935761487
1170,187162,0.09146911935761487
1180,187163,0.09146911935761487
1190,187164,0.09146911935761487
1200,187165,0.09146911935761487
1210,187166,0.09146911935761487
1220,187167,0.09146911935761487
1230,187168,0.09398436685723127
1240,187169,0.09398436685723127
1250,187170,0.09398436685723127
1260,187171,0.09398436685723127
1270,187172,0.09398436685723127
1280,187173,0.09398436685723127
1290,187174,0.09398436685723127
1300,187175,0.09398436685723127
1310,187176,0.09398436685723127
1320,187177,0.09398436685723127
1330,187178,0.09398436685723127
1340,187179,0.09443619169571599
1350,187180,0.09443619169571599
1360,187181,0.09443619169571599
1370,187182,0.09443619169571599
1380,187183,0.09443619169571599
1390,187184,0.09443619169571599
1400,187185,0.09443619169571599
1410,187186,0.09443619169571599
1420,187187,0.09483242702635597
1430,187188,0.09490162298408791
1440,187189,0.09798907600229383
1450,187190,0.09798907600229383
1460,187191,0.09800179322802696
1470,187192,0.09800179322802696
1480,187193,0.09800179322802696
1490,187194,0.09800179322802696
1500,187195,0.09800179322802696
1510,187196,0.09810143889261112
1520,187197,0.09810143889261112
1530,187198,0.09810143889261112
1540,187199,0.09811376582719769
1550,187200,0.09866735071722527
1560,187201,0.09866735071722527
1570,187202,0.09866735071722527
1580,187203,0.09866735071722527
1590,187204,0.09894527447675373
1600,187205,0.0991265443660116
1610,187206,0.09956203622585329
1620,187207,0.09980934832552937
1630,187208,0.09980934832552937
1640,187209,0.09980934832552937
1650,187210,0.09980934832552937
1660,187211,0.09980934832552937
1670,187212,0.09995349413258094
1680,187213,0.09995349413258094
1690,187214,0.09995349413258094
1700,187215,0.09995349413258094
1710,187216,0.09995349413258094
1720,187217,0.1016911042402135
1730,187218,0.1016911042402135
1740,187219,0.1016911042402135
1750,187220,0.1016911042402135
1760,187221,0.1016911042402135
1770,187222,0.1016911042402135
1780,187223,0.1016911042402135
1790,187224,0.1016911042402135
1800,187225,0.1016911042402135
1810,187226,0.1016911042402135
1820,187227,0.1016911042402135
1830,187228,0.1016911042402135
1840,187229,0.10197162978813648
1850,187230,0.10197162978813648
1860,187231,0.10197162978813648
1870,187232,0.10197162978813648
1880,187233,0.10197162978813648
1890,187234,0.10197162978813648
1900,187235,0.10197162978813648
1910,187236,0.10197162978813648
1920,187237,0.10197162978813648
1930,187238,0.10197162978813648
1940,187239,0.10197162978813648
1950,187240,0.10197162978813648
1960,187241,0.10197162978813648
1970,187242,0.10197162978813648
1980,187243,0.10197162978813648
1990,187244,0.10197162978813648
2000,187245,0.10197162978813648
2010,187246,0.10197162978813648
2020,187247,0.10197162978813648
2030,187248,0.10197162978813648
2040,187249,0.10197162978813648
2050,187250,0.10197162978813648
2060,187251,0.10197162978813648
2070,187252,0.10197162978813648
2080,187253,0.10197162978813648
2090,187254,0.10197162978813648
2100,187255,0.10197162978813648
2110,187256,0.10197162978813648
2120,187257,0.10208047320263443
2130,187258,0.10208047320263443
2140,187259,0.10208798252571384
2150,187260,0.10208798252571384
2160,187261,0.10208798252571384
2170,187262,0.10208798252571384
2180,187263,0.10208798252571384
2190,187264,0.10208798252571384
2200,187265,0.10362564545936315
2210,187266,0.10362564545936315
2220,187267,0.10362564545936315
2230,187268,0.10362564545936315
2240,187269,0.10362564545936315
2250,187270,0.10362564545936315
2260,187271,0.10508920417273826
2270,187272,0.10560128746220768
2280,187273,0.10689413290196069
2290,187274,0.10689413290196069
2300,187275,0.10689413290196069
2310,187276,0.10689413290196069
