iters,fevals,fitness
0,2101601,2947.507611173299
10,2102640,3063.758795147063
20,2103681,3175.2673494526703
30,2104713,3294.5575417484424
40,2105763,3414.439546079258
50,2106795,3394.544534545993
60,2107828,3535.9232722031193
70,2108868,3494.0578096554723
80,2109911,3515.091138309217
90,2110955,3513.063620348185
100,2112001,3599.6645166973644
110,2113039,3577.5785768569394
120,2114077,3632.15148554191
130,2115119,3609.246138110872
140,2116162,3566.736192406698
150,2117201,3599.768391408011
160,2118245,3592.6561073235016
170,2119282,3575.5290622407583
180,2120330,3657.4814670594837
190,2121369,3595.8258373170697
200,2122414,3675.6561179556293
210,2123451,3621.512727065097
220,2124494,3641.5804487274263
230,2125528,3600.4895022074415
240,2126567,3629.2578980095846
250,2127602,3656.105554760067
260,2128646,3679.3833391186663
270,2129683,3666.391683390615
280,2130710,3703.2019350951227
290,2131760,3679.395723186244
300,2132801,3641.782949137727
310,2133843,3678.024754121417
320,2134887,3719.111176985558
330,2135913,3722.520601557522
340,2136947,3682.9343577614536
350,2137987,3694.21341852218
360,2139032,3681.1812680917374
370,2140065,3702.9114433212662
380,2141107,3690.7332235107538
390,2142148,3734.647240986889
400,2143186,3673.7613989295232
410,2144223,3678.2481389418917
420,2145259,3704.0726587519143
430,2146303,3683.6259661261165
440,2147347,3647.0383600976006
450,2148382,3666.242447574703
460,2149422,3644.626851330471
470,2150466,3654.348999451206
480,2151505,3713.822576758435
490,2152544,3678.3373658989935
500,2153586,3684.3488513255866
510,2154619,3686.5028794646564
520,2155656,3679.7399368622264
530,2156694,3657.981991784752
540,2157734,3675.7663129328926
550,2158776,3660.0135164262556
560,2159810,3692.381088027808
570,2160853,3678.159950047503
580,2161891,3710.8012587142007
590,2162928,3696.5801207338955
600,2163962,3701.939945623984
610,2164996,3680.209770394455
620,2166037,3678.159950047503
630,2167074,3716.768841537228
640,2168117,3699.890125277032
650,2169163,3700.152903801765
660,2170204,3679.943571236042
670,2171246,3714.3740417820704
680,2172278,3696.433855544281
690,2173315,3680.209770394455
700,2174347,3691.1921004779456
710,2175395,3678.159950047503
720,2176442,3668.7817313706546
730,2177482,3637.794024608649
740,2178524,3666.2237302741987
750,2179571,3699.5407214362945
760,2180610,3628.1081860017357
