iters,fevals,fitness
0,154039,0.0405424916599591
10,154040,0.04284516291986781
20,154041,0.042321713734286906
30,154042,0.043155941018595836
40,154043,0.0416481485042576
50,154044,0.039439898871569366
60,154045,0.03858788620331665
70,154046,0.038994242019485814
80,154047,0.03931966829514845
90,154048,0.03834691085442977
100,154049,0.04215129839190937
110,154050,0.04081901075823158
120,154051,0.04026979094854558
130,154052,0.038241734105642314
140,154053,0.04250924711447587
150,154054,0.04026466042486696
160,154055,0.040120038120411906
170,154056,0.03813799620286043
180,154057,0.03889344883987808
190,154058,0.0407142098745478
200,154059,0.03986683815453195
210,154060,0.040928717540679345
220,154061,0.042437206023670584
230,154062,0.039276261954286726
240,154063,0.04005244526774534
250,154064,0.03877324172783991
260,154065,0.04274013697790532
270,154066,0.04224185566212327
280,154067,0.043261670936842266
290,154068,0.04335172447105261
300,154069,0.043486054059687626
310,154070,0.04545732530481015
320,154071,0.04083210400040024
330,154072,0.039975581000145685
340,154073,0.0394710397159675
350,154074,0.039684660862407746
360,154075,0.0410424409147592
370,154076,0.04589226168042199
380,154077,0.042668260638670436
390,154078,0.04239280801829746
400,154079,0.04679947967149664
410,154080,0.043272689273525664
420,154081,0.04121362758723615
430,154082,0.044105111876248534
440,154083,0.0418531318852016
450,154084,0.04476682884052635
460,154085,0.04265822103949088
470,154086,0.03936711156318598
480,154087,0.03889257593273698
490,154088,0.04141634852103983
500,154089,0.046528160988109406
510,154090,0.0418793479551513
520,154091,0.0393295674170704
530,154092,0.04340368565437875
540,154093,0.04265042160878508
550,154094,0.045653966579614166
560,154095,0.04322762249570946
570,154096,0.04390354746409668
580,154097,0.041276822964063035
590,154098,0.03921946485081295
600,154099,0.04068550678233152
610,154100,0.037590247449598664
620,154101,0.041287319308487426
630,154102,0.04214573619521975
640,154103,0.047286370715426386
650,154104,0.05099801780438053
660,154105,0.0525068273388317
670,154106,0.05354831162925538
680,154107,0.05480912950020129
690,154108,0.05480912950020129
700,154109,0.05731473090279598
710,154110,0.05731473090279598
720,154111,0.05762941172040617
730,154112,0.05801191428177042
740,154113,0.05878804860707337
750,154114,0.05881110872279961
760,154115,0.0596114896506537
770,154116,0.0596114896506537
780,154117,0.06057861577983928
790,154118,0.060987652215716365
800,154119,0.061760381628625655
810,154120,0.06377296336939241
