iters,fevals,fitness
0,6301997,2720.7310041307937
10,6303030,2991.968290947287
20,6304058,3232.1989260350038
30,6305101,3276.4653666347845
40,6306133,3306.8045309809067
50,6307173,3401.206574200599
60,6308215,3476.382688617694
70,6309258,3439.4590635752943
80,6310302,3481.2064700816013
90,6311338,3636.516708049751
100,6312378,3551.8956262097636
110,6313417,3627.971705208873
120,6314456,3549.9909435680083
130,6315489,3595.4138545682654
140,6316515,3564.135396243097
150,6317562,3600.2694727295857
160,6318601,3584.7714221200376
170,6319638,3609.6412006031333
180,6320670,3574.0279323870827
190,6321704,3557.6073502234894
200,6322751,3614.054155193129
210,6323788,3631.5075829659017
220,6324829,3593.856585641494
230,6325870,3634.928326372029
240,6326912,3633.2060173545983
250,6327959,3633.5574033128537
260,6328999,3596.2573793187225
270,6330036,3659.7423019864455
280,6331077,3601.6535587409153
290,6332116,3661.439000118468
300,6333145,3582.645021325862
310,6334192,3617.571459845923
320,6335235,3558.600188006883
330,6336280,3592.809706292435
340,6337328,3571.4750472109486
350,6338363,3569.784316053211
360,6339409,3578.4572346517266
370,6340442,3567.852440654646
380,6341486,3589.7772807025435
390,6342533,3628.5519029710663
400,6343580,3575.8677028968214
410,6344617,3541.8746511653767
420,6345659,3548.773737605466
430,6346712,3533.6962873649204
440,6347755,3552.983541094728
450,6348800,3546.9240229701745
460,6349842,3558.431036073643
470,6350881,3584.8312782751323
480,6351918,3550.822227657307
490,6352960,3592.8843441098156
500,6353999,3525.7184592922554
510,6355038,3545.97930835385
520,6356093,3574.2783031288664
530,6357129,3527.8741446538515
540,6358173,3527.2268561189135
550,6359218,3566.711714977067
560,6360251,3588.158413657809
570,6361281,3566.2057696901306
580,6362316,3571.690799572826
590,6363351,3565.7032900341524
600,6364393,3593.637319279993
610,6365424,3532.805189998711
620,6366460,3570.3495681366935
630,6367498,3596.509612645718
640,6368536,3609.709816110827
650,6369583,3612.3937566336895
660,6370626,3590.7113882075614
670,6371665,3586.0202658249946
680,6372706,3630.94690154405
690,6373741,3599.5065582273837
700,6374775,3595.945632545203
710,6375814,3586.147711279355
720,6376854,3575.9186590073564
730,6377893,3547.6716748045305
740,6378936,3575.9186590073564
750,6379976,3609.9335122575762
760,6381010,3616.2924347591834
770,6382049,3552.433329873633
780,6383085,3567.4171396822912
790,6384125,3568.764823304516
800,6385161,3563.645653741162
810,6386199,3555.5925879064785
820,6387244,3543.9211411059255
830,6388284,3614.1344009164695
840,6389332,3624.245984932806
850,6390371,3641.9566828481634
860,6391414,3631.549517935082
870,6392463,3679.0515388493
880,6393502,3657.1675210694016
890,6394538,3676.212617280669
900,6395583,3660.778695747647
910,6396621,3654.0359928568328
920,6397663,3616.647830103754
930,6398695,3643.967399968657
940,6399738,3631.860484121531
950,6400776,3632.587572193652
960,6401816,3605.327270171213
970,6402853,3567.1885457901667
980,6403887,3532.785259049851
990,6404925,3593.982044089735
1000,6405956,3679.0515388493
1010,6406999,3642.1029008134246
1020,6408032,3649.405001143548
1030,6409076,3645.1244993385244
1040,6410119,3616.6822233779144
1050,6411158,3619.73114781806
1060,6412198,3608.368124059597
1070,6413236,3600.8759867556714
1080,6414272,3653.177565173208
1090,6415315,3644.562081840091
1100,6416355,3646.047467878251
1110,6417394,3612.0851286907696
1120,6418439,3623.531027467456
1130,6419474,3623.531027467456
1140,6420516,3625.293415076648
1150,6421550,3608.886870151267
1160,6422592,3601.7094580532194
1170,6423641,3608.3125646611097
1180,6424672,3586.582389431581
1190,6425706,3645.094091386555
1200,6426750,3572.6270634744014
1210,6427787,3605.0013710073076
1220,6428827,3580.282751081952
1230,6429863,3613.3916356413083
1240,6430906,3626.6957156723824
1250,6431938,3615.1775483767583
1260,6432975,3640.0240905113756
1270,6434008,3623.1450776683437
1280,6435049,3678.93021461791
1290,6436095,3614.150116835284
1300,6437131,3653.056240941818
1310,6438174,3643.713115848163
1320,6439212,3652.4049672881197
1330,6440255,3666.3107187802443
1340,6441287,3680.5309492639535
1350,6442324,3679.342869210687
1360,6443368,3692.1846924563365
1370,6444406,3705.216842886779
1380,6445457,3679.342869210687
1390,6446497,3679.342869210687
1400,6447546,3679.342869210687
1410,6448585,3724.419528636846
1420,6449635,3695.7178009218032
1430,6450672,3722.004429190672
1440,6451710,3715.995601404145
1450,6452753,3716.4172161210586
1460,6453790,3708.304947945041
1470,6454832,3716.4172161210586
1480,6455873,3729.449366551501
1490,6456916,3729.449366551501
1500,6457951,3759.2520752197656
1510,6458994,3733.4208645665785
1520,6460038,3740.760786228546
1530,6461081,3760.5753835809714
1540,6462127,3760.0838536214414
1550,6463158,3758.044525496679
1560,6464203,3755.3233402275932
1570,6465236,3758.044525496679
1580,6466271,3758.044525496679
1590,6467318,3744.6678293578475
1600,6468363,3755.5136674123855
1610,6469403,3755.5136674123855
1620,6470448,3786.6396844418564
1630,6471491,3794.69275027654
1640,6472532,3794.69275027654
1650,6473574,3786.6396844418564
1660,6474612,3781.6605998460977
1670,6475649,3798.369287564902
1680,6476688,3786.6396844418564
1690,6477731,3826.844178689323
1700,6478773,3805.147806358562
1710,6479808,3812.5046979938115
1720,6480845,3801.5426508611786
1730,6481886,3773.607534011414
1740,6482929,3773.7886991213936
1750,6483971,3773.7886991213936
1760,6485007,3773.7886991213936
1770,6486043,3760.955835999881
1780,6487078,3747.923685569439
1790,6488116,3760.955835999881
1800,6489154,3763.1897703360755
1810,6490189,3792.2811403382816
1820,6491223,3760.955835999881
1830,6492263,3760.955835999881
1840,6493293,3760.955835999881
1850,6494340,3747.923685569439
1860,6495385,3749.973505916391
1870,6496428,3744.531337328895
1880,6497471,3723.909205055506
1890,6498507,3720.4997804835425
1900,6499544,3729.449366551501
1910,6500591,3736.8442499329813
1920,6501620,3688.9160235954037
1930,6502664,3684.3649523741174
1940,6503705,3691.582071057957
1950,6504746,3749.2536472160964
1960,6505772,3692.348217713107
1970,6506812,3678.3985710973075
1980,6507856,3670.222544050127
1990,6508887,3668.7719261313437
2000,6509921,3728.7969867306924
2010,6510955,3693.404210507657
2020,6512003,3666.5508099586873
2030,6513042,3668.3011458947694
