iters,fevals,fitness,times
0,10,6.0,3.0116999999996175e-05
10,11,6.0,5.5904999999994986e-05
20,12,6.0,8.085899999998869e-05
30,13,9.0,0.00010564799999998598
40,14,9.0,0.00012878499999999238
50,15,9.0,0.00015257899999998603
60,16,9.0,0.00017581899999997985
70,17,9.0,0.00019900099999997645
80,18,9.0,0.00022289999999998422
90,19,69.0,0.0002518809999999816
100,20,69.0,0.00027518899999998125
110,21,69.0,0.0002987799999999846
120,22,69.0,0.00032317699999998006
130,23,69.0,0.00034616099999998373
140,24,69.0,0.0003699979999999825
150,25,69.0,0.0003926619999999881
160,26,69.0,0.00041574499999999515
170,27,69.0,0.00043955899999999215
180,28,69.0,0.00046264099999998587
190,29,69.0,0.0004854719999999868
200,30,69.0,0.0005089669999999852
210,31,69.0,0.0005319099999999827
220,32,69.0,0.000554711999999985
230,33,69.0,0.0005813759999999807
240,34,69.0,0.0006042059999999821
250,35,70.0,0.0006283279999999836
260,36,70.0,0.0006519459999999866
270,37,70.0,0.000675195999999989
280,38,73.0,0.0006983329999999816
290,39,73.0,0.0007212579999999746
300,40,73.0,0.0007451889999999795
310,41,73.0,0.0007683009999999713
320,42,73.0,0.000791265999999971
330,43,73.0,0.0008146799999999704
340,44,73.0,0.0008379759999999764
350,45,73.0,0.0008617449999999693
360,46,73.0,0.0008845879999999778
370,47,76.0,0.0009078439999999771
380,48,77.0,0.0009308019999999806
390,49,77.0,0.0009547839999999863
400,50,82.0,0.0009781509999999966
410,51,82.0,0.001001368999999988
420,52,82.0,0.00102475199999999
430,53,82.0,0.0010478459999999912
440,54,82.0,0.001071213999999987
450,55,82.0,0.001094287999999985
460,56,82.0,0.0011173739999999766
470,57,83.0,0.0011410189999999792
480,58,83.0,0.0011639869999999775
490,59,83.0,0.0011867889999999798
500,60,83.0,0.001210434999999982
510,61,83.0,0.0012346949999999801
520,62,83.0,0.001258320999999979
530,63,83.0,0.0012810659999999696
540,64,83.0,0.0013049669999999625
550,65,83.0,0.0013280219999999704
560,66,83.0,0.0013506499999999672
570,67,83.0,0.0013731959999999654
580,68,83.0,0.001396714999999965
590,69,83.0,0.0014197769999999693
600,70,83.0,0.0014423929999999724
610,71,83.0,0.0014650449999999704
620,72,83.0,0.0014883639999999781
630,73,83.0,0.0015110209999999874
640,74,83.0,0.0015344409999999975
650,75,83.0,0.0015573239999999988
660,76,83.0,0.0015802879999999991
670,77,83.0,0.0016035740000000104
680,78,83.0,0.001626368000000017
690,79,83.0,0.0016489930000000153
700,80,83.0,0.001672557000000019
710,81,85.0,0.0016959950000000196
720,82,85.0,0.001718778000000018
730,83,85.0,0.0017411310000000069
740,84,85.0,0.0017636580000000013
750,85,85.0,0.0017865720000000002
760,86,85.0,0.0018100110000000003
770,87,85.0,0.0018325990000000042
780,88,85.0,0.001863886000000009
790,89,85.0,0.0018864850000000072
800,90,85.0,0.001909000000000008
810,91,85.0,0.0019322050000000063
820,92,85.0,0.0019557590000000014
830,93,85.0,0.0019786630000000055
840,94,86.0,0.0020241250000000016
850,95,86.0,0.0020525420000000044
860,96,86.0,0.0020783650000000126
870,97,86.0,0.0021042340000000104
880,98,86.0,0.0021297220000000144
890,99,86.0,0.002155987000000012
900,100,86.0,0.00218161800000001
910,101,86.0,0.0022070830000000125
920,102,86.0,0.002233052000000013
930,103,86.0,0.0022589710000000124
940,104,86.0,0.0022843780000000175
950,105,86.0,0.002310816000000021
960,106,86.0,0.0023369800000000163
970,107,86.0,0.0023631440000000115
980,108,86.0,0.0023881180000000224
990,109,86.0,0.0024117170000000215
1000,110,86.0,0.0024347830000000237
1010,111,86.0,0.0024585690000000215
1020,112,87.0,0.0024891420000000136
1030,113,87.0,0.0025125150000000207
1040,114,87.0,0.002535400000000021
1050,115,87.0,0.00255886700000002
1060,116,87.0,0.0025816140000000237
1070,117,87.0,0.0026046030000000248
1080,118,87.0,0.0026274340000000257
1090,119,87.0,0.0026498120000000153
1100,120,87.0,0.0026730380000000165
1110,121,87.0,0.00269593600000001
1120,122,87.0,0.0027197980000000094
1130,123,87.0,0.0027431920000000054
1140,124,87.0,0.0027662520000000107
1150,125,87.0,0.0027888010000000074
1160,126,87.0,0.002811519999999998
1170,127,87.0,0.0028341090000000013
1180,128,87.0,0.0028567889999999985
1190,129,87.0,0.0028805600000000042
1200,130,87.0,0.0029044560000000136
1210,131,87.0,0.002927953000000025
1220,132,87.0,0.002950578000000023
1230,133,87.0,0.0030136760000000207
1240,134,87.0,0.0030361150000000198
1250,135,87.0,0.003058126000000022
1260,136,87.0,0.0030818400000000162
1270,137,87.0,0.003104302000000017
1280,138,87.0,0.0031268840000000103
1290,139,90.0,0.0031494759999999983
1300,140,90.0,0.0031720580000000054
1310,141,90.0,0.0031947590000000053
1320,142,90.0,0.0032184460000000137
1330,143,90.0,0.003241465000000013
1340,144,90.0,0.003264026000000017
1350,145,90.0,0.0032867470000000065
1360,146,90.0,0.0033095550000000196
1370,147,90.0,0.0033323670000000166
1380,148,90.0,0.0033562770000000186
1390,149,90.0,0.0033793020000000284
1400,150,90.0,0.0034021290000000315
1410,151,90.0,0.003424678000000042
1420,152,90.0,0.003447102000000035
1430,153,90.0,0.0034693710000000266
1440,154,90.0,0.0034926500000000277
1450,155,90.0,0.003515853000000027
1460,156,90.0,0.003538616000000022
1470,157,90.0,0.003561323000000019
1480,158,90.0,0.0035840190000000216
1490,159,90.0,0.0036064700000000283
1500,160,90.0,0.003629849000000032
1510,161,90.0,0.003653891000000034
1520,162,90.0,0.003676545000000031
1530,163,90.0,0.0037006390000000333
1540,164,90.0,0.0037235370000000406
1550,165,90.0,0.0037460520000000413
1560,166,90.0,0.0037684530000000327
1570,167,90.0,0.0037916680000000397
1580,168,90.0,0.0038138970000000383
1590,169,90.0,0.0038363410000000486
1600,170,90.0,0.003859218000000053
1610,171,90.0,0.0038819730000000524
1620,172,90.0,0.00390500200000006
1630,173,90.0,0.003928227000000062
1640,174,90.0,0.003950790000000065
1650,175,90.0,0.003973287000000061
1660,176,90.0,0.003995902000000065
1670,177,90.0,0.004018890000000067
1680,178,94.0,0.004041524000000074
1690,179,95.0,0.004064965000000073
1700,180,95.0,0.004087783000000067
1710,181,95.0,0.00411091900000006
1720,182,95.0,0.004133782000000058
1730,183,95.0,0.004156692000000059
1740,184,95.0,0.0041793470000000554
1750,185,95.0,0.0042022530000000585
1760,186,95.0,0.004225434000000056
1770,187,95.0,0.004247529000000055
1780,188,95.0,0.00427064300000006
1790,189,95.0,0.004293711000000061
1800,190,95.0,0.004316723000000064
1810,191,95.0,0.004339092000000072
1820,192,95.0,0.004362567000000081
1830,193,95.0,0.004385207000000085
1840,194,95.0,0.004407916000000081
1850,195,95.0,0.004430130000000074
1860,196,95.0,0.0044524810000000775
1870,197,95.0,0.00447541500000008
1880,198,95.0,0.00449844000000009
1890,199,96.0,0.004521582000000093
1900,200,96.0,0.00454397300000009
1910,201,96.0,0.004566498000000085
1920,202,96.0,0.0045898220000000906
1930,203,96.0,0.004614873000000089
1940,204,96.0,0.004638641000000082
1950,205,96.0,0.004661664000000079
1960,206,96.0,0.004684604000000078
1970,207,96.0,0.004706944000000074
1980,208,96.0,0.004729811000000084
1990,209,96.0,0.004752555000000089
2000,210,96.0,0.004775462000000091
2010,211,96.0,0.004797953000000091
2020,212,96.0,0.004820732000000091
2030,213,96.0,0.004843361000000088
2040,214,96.0,0.004865721000000087
2050,215,96.0,0.004887959000000094
2060,216,96.0,0.004910162000000093
2070,217,96.0,0.004932925000000088
2080,218,96.0,0.005021348000000092
2090,219,96.0,0.005047433000000087
2100,220,96.0,0.005072113000000086
2110,221,96.0,0.005096641000000082
2120,222,96.0,0.005120540000000076
2130,223,96.0,0.005145413000000085
2140,224,96.0,0.005169992000000095
2150,225,96.0,0.00519412700000009
2160,226,96.0,0.005219073000000088
2170,227,96.0,0.005244006000000093
2180,228,96.0,0.005268350000000088
2190,229,96.0,0.005292969000000078
2200,230,98.0,0.00531719500000008
2210,231,98.0,0.005341039000000075
2220,232,98.0,0.005363656000000078
2230,233,98.0,0.005386614000000081
2240,234,98.0,0.005409093000000073
2250,235,98.0,0.00543185300000007
2260,236,99.0,0.005454650000000061
2270,237,99.0,0.00547670100000007
2280,238,99.0,0.005498920000000074
2290,239,99.0,0.005521621000000074
2300,240,99.0,0.005546057000000076
2310,241,99.0,0.005569959000000069
2320,242,99.0,0.005592433000000077
2330,243,99.0,0.00561499600000008
2340,244,99.0,0.005637347000000084
2350,245,99.0,0.0056604030000000916
2360,246,99.0,0.00568281700000009
2370,247,99.0,0.005705384000000091
2380,248,99.0,0.0057276020000000955
2390,249,99.0,0.005749797000000084
2400,250,99.0,0.005773807000000089
2410,251,99.0,0.005796125000000096
2420,252,99.0,0.005819638000000099
2430,253,99.0,0.005842850000000108
2440,254,99.0,0.005865665000000103
2450,255,99.0,0.0058883990000001
2460,256,99.0,0.005910902000000093
2470,257,99.0,0.0059339320000001
2480,258,99.0,0.005956834000000091
2490,259,99.0,0.005980168000000091
2500,260,99.0,0.006008016000000102
2510,261,99.0,0.006031357000000098
2520,262,99.0,0.006054326000000096
2530,263,99.0,0.006077277000000103
2540,264,99.0,0.006101600000000096
2550,265,99.0,0.006124677000000092
2560,266,99.0,0.006148439000000089
2570,267,99.0,0.0061716530000000824
2580,268,99.0,0.006194828000000083
2590,269,99.0,0.006217682000000085
2600,270,99.0,0.00623997900000009
2610,271,99.0,0.006262365000000089
2620,272,99.0,0.006285404000000092
2630,273,99.0,0.006308253000000097
2640,274,99.0,0.006330750000000107
2650,275,99.0,0.006353205000000112
2660,276,99.0,0.0063761210000001095
2670,277,99.0,0.006398767000000097
2680,278,99.0,0.006421439000000098
2690,279,99.0,0.006444090000000097
2700,280,99.0,0.006466300000000091
2710,281,99.0,0.0064890370000001
2720,282,99.0,0.006511836000000104
2730,283,100.0,0.006535323000000107
2740,284,100.0,0.006557947000000119
2750,285,100.0,0.00658114100000011
2760,286,100.0,0.006604094000000116
2770,287,100.0,0.006628939000000111
2780,288,100.0,0.006651166000000111
2790,289,100.0,0.006673511000000118
2800,290,100.0,0.00669625300000011
2810,291,100.0,0.00671932300000011
2820,292,100.0,0.0067416620000001065
2830,293,100.0,0.006764419000000105
2840,294,100.0,0.006786579000000098
2850,295,100.0,0.006809462000000099
2860,296,100.0,0.006831446000000088
2870,297,100.0,0.006854456000000078
2880,298,101.0,0.006877382000000085
2890,299,101.0,0.006899964000000078
2900,300,101.0,0.006922972000000083
2910,301,101.0,0.0069452120000000755
2920,302,101.0,0.00696719200000008
2930,303,101.0,0.0069896270000000815
2940,304,101.0,0.007012007000000084
2950,305,101.0,0.007034261000000083
2960,306,101.0,0.007056569000000082
2970,307,101.0,0.007078927000000082
2980,308,101.0,0.007101287000000081
2990,309,104.0,0.007123901000000085
3000,310,104.0,0.007147281000000089
3010,311,104.0,0.007169388000000082
3020,312,104.0,0.007191259000000075
3030,313,104.0,0.007213749000000075
3040,314,104.0,0.007235850000000071
3050,315,104.0,0.007257828000000077
3060,316,104.0,0.007280367000000079
3070,317,104.0,0.007309531000000077
3080,318,104.0,0.007331675000000079
3090,319,104.0,0.0073536650000000925
3100,320,104.0,0.007375541000000083
3110,321,104.0,0.00739773900000007
3120,322,104.0,0.0075070390000000625
3130,323,104.0,0.0075311260000000685
3140,324,104.0,0.007553557000000072
3150,325,105.0,0.007576011000000063
3160,326,105.0,0.007598553000000063
3170,327,105.0,0.007621745000000069
3180,328,105.0,0.007644475000000081
3190,329,105.0,0.007667023000000078
3200,330,105.0,0.007689867000000086
3210,331,105.0,0.007712755000000099
3220,332,105.0,0.007735323000000099
3230,333,105.0,0.0077576960000001055
3240,334,105.0,0.007781140000000103
3250,335,105.0,0.007803758000000105
3260,336,105.0,0.007826727000000103
3270,337,105.0,0.007849395000000106
3280,338,105.0,0.007872385000000107
3290,339,105.0,0.007895353000000119
3300,340,105.0,0.007918005000000117
3310,341,105.0,0.007941838000000118
3320,342,105.0,0.007964875000000121
3330,343,105.0,0.007987900000000117
3340,344,105.0,0.008010678000000118
3350,345,105.0,0.008034182000000126
3360,346,105.0,0.008056918000000121
3370,347,105.0,0.008080533000000112
3380,348,105.0,0.008103068000000116
3390,349,105.0,0.008126294000000117
3400,350,105.0,0.008149078000000115
3410,351,105.0,0.008172330000000103
3420,352,105.0,0.00819493900000011
3430,353,105.0,0.008217442000000102
3440,354,105.0,0.0082402520000001
3450,355,105.0,0.008262981000000114
3460,356,105.0,0.008285552000000113
3470,357,105.0,0.008308360000000112
3480,358,105.0,0.008331019000000106
3490,359,105.0,0.008353963000000103
3500,360,105.0,0.008376716000000103
3510,361,105.0,0.008399019000000105
3520,362,105.0,0.008421555000000108
3530,363,105.0,0.008444035000000114
3540,364,105.0,0.008465992000000117
3550,365,105.0,0.00848837000000012
3560,366,105.0,0.008510883000000108
3570,367,105.0,0.00853305300000011
3580,368,105.0,0.008555423000000117
3590,369,105.0,0.008577956000000123
3600,370,105.0,0.00860005500000012
3610,371,105.0,0.008622584000000127
3620,372,105.0,0.008645874000000137
3630,373,105.0,0.008668116000000142
3640,374,105.0,0.00869411600000014
3650,375,105.0,0.008716742000000138
3660,376,105.0,0.008739028000000149
3670,377,105.0,0.008760983000000153
3680,378,105.0,0.008783864000000155
3690,379,105.0,0.00880595000000016
3700,380,105.0,0.008828113000000151
3710,381,105.0,0.008850379000000144
3720,382,105.0,0.008872788000000145
3730,383,105.0,0.008894847000000136
3740,384,105.0,0.008917383000000126
3750,385,105.0,0.008939582000000126
3760,386,105.0,0.00896203800000013
3770,387,105.0,0.008984460000000125
3780,388,105.0,0.009006704000000115
3790,389,105.0,0.009029065000000114
3800,390,105.0,0.009052049000000117
3810,391,105.0,0.009074024000000111
3820,392,105.0,0.009096111000000101
3830,393,105.0,0.009118594000000091
3840,394,105.0,0.009140896000000093
3850,395,105.0,0.009164282000000093
3860,396,105.0,0.009186874000000095
3870,397,105.0,0.009209429000000088
3880,398,105.0,0.009231543000000078
3890,399,105.0,0.009253724000000074
3900,400,105.0,0.00927585400000007
3910,401,105.0,0.009298045000000074
3920,402,105.0,0.009320500000000065
3930,403,105.0,0.009343304000000066
3940,404,105.0,0.009365521000000071
3950,405,105.0,0.009387694000000071
3960,406,105.0,0.009409831000000063
3970,407,105.0,0.009431866000000066
3980,408,105.0,0.009454223000000067
3990,409,105.0,0.009477063000000063
4000,410,105.0,0.009499528000000063
4010,411,105.0,0.009521694000000053
4020,412,105.0,0.009544473000000053
4030,413,105.0,0.009566594000000053
4040,414,105.0,0.009588649000000046
4050,415,105.0,0.009611143000000044
4060,416,105.0,0.009633310000000048
4070,417,105.0,0.009655777000000046
4080,418,105.0,0.00967804900000005
4090,419,105.0,0.00970024000000004
4100,420,105.0,0.00972278400000004
4110,421,105.0,0.009745412000000037
4120,422,105.0,0.009768513000000034
4130,423,105.0,0.009790595000000027
4140,424,105.0,0.00981321200000003
4150,425,105.0,0.009835824000000035
4160,426,105.0,0.009858150000000024
4170,427,105.0,0.009890575000000026
4180,428,105.0,0.009917785000000026
4190,429,105.0,0.009942528000000034
4200,430,105.0,0.009967601000000034
4210,431,105.0,0.010000165000000033
4220,432,105.0,0.010023631000000033
4230,433,105.0,0.010046802000000035
4240,434,105.0,0.01006998600000003
4250,435,105.0,0.010092753000000024
4260,436,105.0,0.01011556500000002
4270,437,105.0,0.010138222000000016
4280,438,105.0,0.010162428000000029
4290,439,105.0,0.010185774000000022
4300,440,105.0,0.010208635000000021
4310,441,105.0,0.010231164000000029
4320,442,105.0,0.010253515000000032
4330,443,105.0,0.010276283000000025
4340,444,105.0,0.010300572000000022
4350,445,105.0,0.010323549000000015
4360,446,105.0,0.01034811400000002
4370,447,105.0,0.010370877000000014
4380,448,105.0,0.010393485000000008
4390,449,105.0,0.010415879000000003
4400,450,105.0,0.010439442999999993
4410,451,105.0,0.010462021999999987
4420,452,105.0,0.010485187999999993
4430,453,105.0,0.010508038999999997
4440,454,105.0,0.010530946999999999
4450,455,105.0,0.010554395999999994
4460,456,105.0,0.010576802999999996
4470,457,105.0,0.010599961000000005
4480,458,105.0,0.01062244300000001
4490,459,105.0,0.010645125000000005
4500,460,105.0,0.010668311
4510,461,105.0,0.010690638000000002
4520,462,105.0,0.010712984999999994
4530,463,105.0,0.010741173999999992
4540,464,105.0,0.010763440999999999
4550,465,105.0,0.010821878999999993
4560,466,105.0,0.010844595999999998
4570,467,105.0,0.010867024000000003
4580,468,105.0,0.010889299000000005
4590,469,105.0,0.010911561000000014
4600,470,105.0,0.010933650000000017
4610,471,105.0,0.010970498000000009
4620,472,105.0,0.010992752000000008
4630,473,105.0,0.011015044000000002
4640,474,105.0,0.011037208000000007
4650,475,105.0,0.011059559999999996
4660,476,105.0,0.011081750000000001
4670,477,105.0,0.011104700999999995
4680,478,105.0,0.011126814999999984
4690,479,105.0,0.011148998999999993
4700,480,105.0,0.011170979999999997
4710,481,105.0,0.011193496999999997
4720,482,105.0,0.011216185999999989
4730,483,105.0,0.01123875399999999
4740,484,105.0,0.011260915999999996
4750,485,105.0,0.011283060999999997
4760,486,105.0,0.011305059999999992
4770,487,105.0,0.011327153999999992
4780,488,105.0,0.011349212999999983
4790,489,105.0,0.011371513999999985
4800,490,105.0,0.011406482999999981
4810,491,105.0,0.01142899999999998
4820,492,105.0,0.011451289999999975
4830,493,105.0,0.01147376999999998
4840,494,105.0,0.011495840999999979
4850,495,105.0,0.011517598999999976
4860,496,105.0,0.01155128699999998
4870,497,105.0,0.011573822999999983
4880,498,105.0,0.011595946999999981
4890,499,105.0,0.011618811999999978
4900,500,105.0,0.01164100999999998
4910,501,105.0,0.01166291799999998
4920,502,105.0,0.011685366999999974
4930,503,105.0,0.011707328999999975
4940,504,105.0,0.011729936999999968
4950,505,105.0,0.011752312999999973
4960,506,105.0,0.01177420799999998
4970,507,105.0,0.011796292999999985
4980,508,105.0,0.011819072999999986
4990,509,105.0,0.01184131099999998
5000,510,105.0,0.011863379999999979
5010,511,105.0,0.011885214999999977
5020,512,105.0,0.011907016999999978
5030,513,105.0,0.011928846999999979
5040,514,105.0,0.011962742999999984
5050,515,105.0,0.01198460699999998
5060,516,105.0,0.01200655299999999
5070,517,105.0,0.012028811
5080,518,105.0,0.012051311999999995
5090,519,105.0,0.012073294999999998
5100,520,105.0,0.012095185999999994
5110,521,105.0,0.012127775999999993
5120,522,105.0,0.012149779999999999
5130,523,105.0,0.012171809000000006
5140,524,105.0,0.012193893000000011
5150,525,105.0,0.01221596300000001
5160,526,105.0,0.01223790100000001
5170,527,105.0,0.012260895000000008
5180,528,105.0,0.012282684000000016
5190,529,105.0,0.01230460400000001
5200,530,105.0,0.012326851
5210,531,105.0,0.012348902000000009
5220,532,105.0,0.01237118000000001
5230,533,105.0,0.012406767000000013
5240,534,105.0,0.012429010000000004
5250,535,105.0,0.012451064000000012
5260,536,105.0,0.012473186000000011
5270,537,105.0,0.012495452000000004
5280,538,105.0,0.012517812000000003
5290,539,105.0,0.012552086000000004
5300,540,105.0,0.012586547000000003
5310,541,105.0,0.012612877999999994
5320,542,105.0,0.012636790999999994
5330,543,105.0,0.012660484999999999
5340,544,105.0,0.012684337000000004
5350,545,105.0,0.012710966000000004
5360,546,105.0,0.012734615000000005
5370,547,105.0,0.012757242000000002
5380,548,105.0,0.012779553000000013
5390,549,105.0,0.012802116000000016
5400,550,105.0,0.012824930000000026
5410,551,105.0,0.012846914000000029
5420,552,105.0,0.012869817000000033
5430,553,105.0,0.012892017000000033
5440,554,105.0,0.012914090000000045
5450,555,105.0,0.012936523000000047
5460,556,105.0,0.012958668000000048
5470,557,105.0,0.012981729000000039
5480,558,105.0,0.013020640000000042
5490,559,105.0,0.013043819000000054
5500,560,105.0,0.01306602700000005
5510,561,105.0,0.013088245000000054
5520,562,105.0,0.013120677000000053
5530,563,105.0,0.013139803000000047
5540,564,105.0,0.013172302000000052
5550,565,105.0,0.013191199000000042
5560,566,105.0,0.013210032000000038
5570,567,105.0,0.01322906600000004
5580,568,105.0,0.013247936000000043
5590,569,105.0,0.013266764000000042
5600,570,105.0,0.013285868000000048
5610,571,105.0,0.013304762000000053
5620,572,105.0,0.013323901000000055
5630,573,105.0,0.013342696000000057
5640,574,105.0,0.013361642000000062
5650,575,105.0,0.013380905000000068
5660,576,105.0,0.013399998000000066
5670,577,105.0,0.013419171000000063
5680,578,105.0,0.013438101000000063
5690,579,105.0,0.013457076000000068
5700,580,105.0,0.013494169000000056
5710,581,105.0,0.013513501000000053
5720,582,105.0,0.013532515000000064
5730,583,105.0,0.013565412000000054
5740,584,105.0,0.013584284000000058
5750,585,105.0,0.013603099000000049
5760,586,105.0,0.013621865000000052
5770,587,105.0,0.013640551000000056
5780,588,105.0,0.013659708000000048
5790,589,105.0,0.013689931000000044
5800,590,105.0,0.013708856000000033
5810,591,105.0,0.013727770000000028
5820,592,105.0,0.013746649000000027
5830,593,105.0,0.013765662000000026
5840,594,105.0,0.01378453200000003
5850,595,105.0,0.013803547000000027
5860,596,105.0,0.01382257600000003
5870,597,105.0,0.013841410000000026
5880,598,105.0,0.013860182000000026
5890,599,105.0,0.013879294000000028
5900,600,105.0,0.013898679000000039
5910,601,105.0,0.01391800200000004
5920,602,105.0,0.01393685400000004
5930,603,105.0,0.013958555000000039
5940,604,105.0,0.013977888000000036
5950,605,105.0,0.013996639000000033
5960,606,105.0,0.014015513000000035
5970,607,105.0,0.014034280000000024
5980,608,105.0,0.014053532000000021
5990,609,105.0,0.014072336000000032
6000,610,105.0,0.014091355000000041
6010,611,105.0,0.014110253000000031
6020,612,105.0,0.014129229000000021
6030,613,105.0,0.014148252000000014
6040,614,105.0,0.01417900200000001
6050,615,105.0,0.014197817000000015
6060,616,105.0,0.014216833000000012
6070,617,105.0,0.014235823000000009
6080,618,105.0,0.014254882999999996
6090,619,105.0,0.014274091000000003
6100,620,105.0,0.014293450999999999
6110,621,105.0,0.014312910999999998
6120,622,105.0,0.01433227699999999
6130,623,105.0,0.01435213299999999
6140,624,105.0,0.01437229399999998
6150,625,105.0,0.014391662999999985
6160,626,105.0,0.014411320999999977
6170,627,105.0,0.014431281999999976
6180,628,105.0,0.014450836999999966
6190,629,105.0,0.014469861999999972
6200,630,105.0,0.014489186999999973
6210,631,105.0,0.014508294999999977
6220,632,105.0,0.01454321499999997
6230,633,105.0,0.01456237799999996
6240,634,105.0,0.014581751999999962
6250,635,105.0,0.014601241999999959
6260,636,105.0,0.01462105899999995
6270,637,105.0,0.014641331999999951
6280,638,105.0,0.014660638999999948
6290,639,105.0,0.014680682999999958
6300,640,105.0,0.014700121999999954
6310,641,105.0,0.014720202999999946
6320,642,105.0,0.014739793999999945
6330,643,105.0,0.014759574999999941
6340,644,105.0,0.014828534999999934
6350,645,105.0,0.014850223999999926
6360,646,105.0,0.014870820999999923
6370,647,105.0,0.01489129499999993
6380,648,105.0,0.014912225999999931
6390,649,105.0,0.014933104999999933
6400,650,105.0,0.014963435999999941
6410,651,105.0,0.014984844999999941
6420,652,105.0,0.01500498199999993
6430,653,105.0,0.01502533899999993
6440,654,105.0,0.015045447999999934
6450,655,105.0,0.015065432999999934
6460,656,105.0,0.015085363999999934
6470,657,105.0,0.015125524999999945
6480,658,105.0,0.01514589599999995
6490,659,105.0,0.015165962999999949
6500,660,105.0,0.01519407399999996
6510,661,105.0,0.015213825999999958
6520,662,105.0,0.015233854999999963
6530,663,105.0,0.015254375999999958
6540,664,105.0,0.015274214999999966
6550,665,105.0,0.015294557999999972
6560,666,105.0,0.015314642999999975
6570,667,105.0,0.015334725999999965
6580,668,105.0,0.015354612999999961
6590,669,105.0,0.015374702999999962
6600,670,105.0,0.015394570999999954
6610,671,105.0,0.015414606999999955
6620,672,105.0,0.015434699999999968
6630,673,105.0,0.015454534999999978
6640,674,105.0,0.015474652999999977
6650,675,105.0,0.015494694999999975
6660,676,105.0,0.01552966499999997
6670,677,105.0,0.015549842999999966
6680,678,105.0,0.015570155999999974
6690,679,105.0,0.015589921999999978
6700,680,105.0,0.015609839999999972
6710,681,105.0,0.015629674999999968
6720,682,105.0,0.01566207599999997
6730,683,105.0,0.015682107999999972
6740,684,105.0,0.01570215999999998
6750,685,105.0,0.015721875999999982
6760,686,105.0,0.015741832999999983
6770,687,105.0,0.015745877999999977
6780,688,105.0,0.01575017199999998
6790,689,105.0,0.015753795999999973
6800,690,105.0,0.015757360999999984
6810,691,105.0,0.015761261999999984
6820,692,105.0,0.015764711999999986
6830,693,105.0,0.015768434999999997
6840,694,105.0,0.015772241000000006
6850,695,105.0,0.015775751000000005
6860,696,105.0,0.015779128000000003
6870,697,105.0,0.015782823000000015
6880,698,105.0,0.015786657000000023
6890,699,105.0,0.015790160000000025
6900,700,105.0,0.015793656000000017
6910,701,105.0,0.015797138000000016
6920,702,105.0,0.015800722000000017
6930,703,105.0,0.015804351000000022
6940,704,105.0,0.015807986000000024
6950,705,105.0,0.01581158500000003
6960,706,105.0,0.01581495800000003
6970,707,105.0,0.01581853700000002
6980,708,105.0,0.01582217900000002
6990,709,105.0,0.015825567000000013
7000,710,105.0,0.015829307000000015
7010,711,105.0,0.015832762000000014
7020,712,105.0,0.01583622400000001
7030,713,105.0,0.01583980900000001
7040,714,105.0,0.01584392000000001
7050,715,105.0,0.01584742900000001
7060,716,105.0,0.015850940000000008
7070,717,105.0,0.015854558000000005
7080,718,105.0,0.01585826800000001
7090,719,105.0,0.01586154300000002
7100,720,105.0,0.015865123000000023
7110,721,105.0,0.015868709000000022
7120,722,105.0,0.015872371000000024
7130,723,105.0,0.015876030000000027
7140,724,105.0,0.015879408000000025
7150,725,105.0,0.015882805000000028
7160,726,105.0,0.015886365000000027
7170,727,105.0,0.01588991400000002
7180,728,105.0,0.015893408000000026
7190,729,105.0,0.015896889000000025
7200,730,105.0,0.01590057100000003
